customer_age,customer_income,employment_duration,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,loan_default,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E
22,59000.0,123.0,35000.0,16.02,10,0.0,3,1.0,False,False,True,False,False,False,True,False,False,True,False,False
21,9600.0,5.0,1000.0,11.14,1,0.0,2,0.0,False,True,False,True,False,False,False,False,False,False,False,False
25,9600.0,1.0,5500.0,12.87,5,0.0,3,1.0,False,False,False,False,False,True,False,False,True,False,False,False
23,65500.0,4.0,35000.0,15.23,10,0.0,2,1.0,False,False,True,False,False,True,False,False,True,False,False,False
24,54400.0,8.0,35000.0,14.27,10,0.0,4,1.0,False,False,True,False,False,True,False,False,True,False,False,False
21,9900.0,2.0,2500.0,7.14,1,0.0,2,1.0,False,True,False,False,False,False,False,True,False,False,False,False
26,77100.0,8.0,35000.0,12.42,10,0.0,3,0.0,False,False,True,True,False,False,False,False,False,False,False,False
24,78956.0,5.0,35000.0,11.11,10,0.0,4,0.0,False,False,True,False,False,True,False,False,False,False,False,False
24,83000.0,8.0,35000.0,8.9,10,0.0,2,0.0,False,False,True,False,False,False,True,False,False,False,False,False
21,10000.0,6.0,1600.0,14.74,1,0.0,3,1.0,False,True,False,False,False,False,False,True,False,True,False,False
22,85000.0,6.0,35000.0,10.37,10,0.0,4,0.0,False,False,True,False,False,False,False,True,False,False,False,False
21,10000.0,2.0,4500.0,8.63,1,0.0,2,1.0,False,True,False,False,True,False,False,False,False,False,False,False
23,95000.0,2.0,35000.0,7.9,10,0.0,2,0.0,False,False,True,False,False,False,False,True,False,False,False,False
26,108160.0,4.0,35000.0,18.39,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,False,True,False
23,115000.0,2.0,35000.0,7.9,10,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
23,500000.0,7.0,30000.0,10.65,10,0.0,3,0.0,False,False,False,False,False,False,False,False,False,False,False,False
23,120000.0,0.0,35000.0,7.9,10,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
23,92111.0,7.0,35000.0,20.25,10,0.0,4,1.0,False,False,True,False,False,True,False,False,False,False,False,True
23,113000.0,8.0,35000.0,18.25,10,0.0,4,1.0,False,False,True,False,False,False,False,False,False,True,False,False
24,10800.0,8.0,1750.0,10.99,4,0.0,2,1.0,False,False,False,True,False,False,False,False,False,False,False,False
25,162500.0,2.0,35000.0,7.49,10,0.0,4,0.0,False,False,True,False,False,False,False,True,False,False,False,False
25,137000.0,9.0,34800.0,16.77,10,0.0,2,0.0,False,False,True,False,False,False,True,False,False,False,True,False
22,65000.0,4.0,34000.0,17.58,10,0.0,4,1.0,False,False,True,True,False,False,False,False,False,True,False,False
24,10980.0,0.0,1500.0,7.29,4,0.0,3,0.0,False,True,False,False,False,False,True,False,False,False,False,False
22,80000.0,3.0,33950.0,14.54,10,0.0,4,1.0,False,False,True,False,False,False,True,False,False,True,False,False
24,67746.0,8.0,33000.0,12.68,10,0.0,3,1.0,False,False,True,False,True,False,False,False,True,False,False,False
21,11000.0,3.0,4575.0,17.74,1,0.0,3,1.0,False,False,False,False,False,False,False,True,False,False,True,False
23,11000.0,0.0,1400.0,9.32,3,0.0,3,0.0,False,True,False,False,False,False,True,False,False,False,False,False
24,65000.0,6.0,32500.0,9.99,10,0.0,3,0.0,False,False,True,False,True,False,False,False,False,False,False,False
21,11389.0,5.0,4000.0,12.84,1,0.0,2,1.0,True,False,False,True,False,False,False,False,True,False,False,False
21,11520.0,5.0,2000.0,11.12,1,0.0,3,1.0,False,True,False,False,False,True,False,False,False,False,False,False
25,120000.0,2.0,32000.0,6.62,10,0.0,2,0.0,False,False,True,False,False,False,False,True,False,False,False,False
26,95000.0,7.0,31050.0,14.17,10,0.0,3,1.0,False,False,True,False,True,False,False,False,True,False,False,False
25,306000.0,2.0,24250.0,13.85,10,0.0,3,0.0,False,False,True,False,False,False,False,False,True,False,False,False
26,300000.0,10.0,7800.0,13.49,6,0.0,4,0.0,False,False,False,False,False,True,False,False,True,False,False,False
21,12000.0,5.0,2500.0,7.51,1,0.0,4,1.0,False,True,False,True,False,False,False,False,False,False,False,False
22,48000.0,1.0,30000.0,18.39,10,0.0,2,1.0,False,False,True,True,False,False,False,False,False,False,True,False
24,64000.0,8.0,30000.0,14.54,10,0.0,3,1.0,False,False,True,False,False,False,False,False,False,True,False,False
25,75000.0,4.0,30000.0,16.89,10,0.0,4,1.0,False,False,True,False,True,False,False,False,False,True,False,False
23,71500.0,3.0,30000.0,10.99,10,0.0,4,1.0,False,False,True,False,False,False,False,False,False,True,False,False
26,62050.0,6.0,30000.0,17.99,10,0.0,2,1.0,False,False,True,False,False,True,False,False,False,False,True,False
24,12000.0,4.0,2500.0,12.69,4,0.0,3,1.0,False,True,False,False,False,False,False,True,False,False,False,False
26,300000.0,10.0,20000.0,7.88,10,0.0,4,0.0,False,False,False,False,False,False,False,True,False,False,False,False
23,300000.0,1.0,24250.0,19.41,10,0.0,2,0.0,False,True,False,True,False,False,False,False,False,False,False,True
26,300000.0,9.0,10000.0,10.38,6,0.0,4,0.0,False,True,False,False,True,False,False,False,False,False,False,False
26,300000.0,0.0,25000.0,15.33,10,0.0,3,0.0,False,False,False,True,False,False,False,False,False,True,False,False
25,300000.0,9.0,18000.0,16.45,10,0.0,3,0.0,False,False,False,False,True,False,False,False,False,False,True,False
26,80690.0,8.0,30000.0,7.49,10,0.0,3,0.0,False,False,True,False,False,False,True,False,False,False,False,False
22,66300.0,4.0,30000.0,12.69,10,0.0,3,0.0,False,False,True,False,False,True,False,False,False,False,False,False
26,89028.0,0.0,30000.0,6.62,10,0.0,3,0.0,False,False,True,False,False,False,False,False,False,False,False,False
24,78000.0,4.0,30000.0,10.99,10,0.0,4,1.0,False,False,True,False,False,False,False,False,False,True,False,False
23,78000.0,7.0,30000.0,18.62,10,0.0,3,1.0,False,False,True,False,False,False,False,False,False,False,False,True
23,92004.0,6.0,30000.0,15.23,10,0.0,3,1.0,False,False,True,False,False,False,True,False,True,False,False,False
23,97000.0,7.0,30000.0,10.65,10,0.0,2,0.0,False,False,True,False,False,False,False,True,False,False,False,False
25,120000.0,9.0,30000.0,7.9,10,0.0,4,0.0,False,False,True,True,False,False,False,False,False,False,False,False
26,280000.0,4.0,10000.0,15.96,6,0.0,3,0.0,False,False,True,False,False,False,True,False,True,False,False,False
26,277104.0,0.0,20000.0,11.48,10,0.0,3,0.0,False,False,True,False,False,False,False,True,False,False,False,False
23,277000.0,3.0,35000.0,10.99,10,0.0,4,0.0,False,True,False,False,False,False,True,False,False,False,False,False
25,128000.0,9.0,30000.0,7.29,10,0.0,4,0.0,False,False,True,False,False,False,True,False,False,False,False,False
24,12000.0,2.0,1750.0,10.99,4,0.0,3,0.0,False,True,False,False,False,False,False,True,False,False,True,False
21,131000.0,0.0,30000.0,5.99,10,0.0,4,0.0,False,False,True,False,False,False,False,True,False,False,False,False
22,275000.0,6.0,12000.0,11.58,10,0.0,2,0.0,False,True,False,False,False,False,False,True,False,False,False,False
26,263000.0,0.0,10000.0,10.99,6,0.0,4,1.0,False,False,False,True,False,False,False,False,False,False,False,False
25,221850.0,9.0,25000.0,15.7,10,0.0,2,1.0,False,False,False,False,False,True,False,False,False,True,False,False
22,70000.0,6.0,29100.0,15.99,10,0.0,3,1.0,False,False,True,True,False,False,False,False,False,True,False,False
